B1,I1,C1,P1,R1,F1,M1,B2,I2,C2,P2,R2,F2,M2,B3,I3,C3,P3,R3,F3,M3,B4,I4,C4,P4,R4,F4,M4,YN
0.602059991,0.963978618,0,-0.602059991,1.505149978,0,2.662948622,0,0,0,0,0,0,0,0.477121255,0,1.87081968,-0.477121255,0.698970004,0,3.626694535,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.919120406,0,0,2.260071388,0,2.919120406,N
0,0,0,0,0,0,0,0.477121255,0,1.328445263,-0.477121255,1.681241237,0,3.407626509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39707055,0,2.127104798,0,3.39707055,N
0,3.431117466,0,0,2.033423755,0,3.431117466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,1.489794745,0,0,1.897627091,0,3.506828085,0,0,0,0,0,0,0,0,0,1.244635141,0,1.361727836,0,3.448755123,N
0,1.807574477,0,0,2.195899652,0,3.169302314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,3.603356414,0,0,1.929418926,0.301029996,3.603356414,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.895972713,0,0.301029996,1.230448921,0.301029996,3.373093967,N
0,0,0,0,0,0,0,0,1.252637696,0,0,1.556302501,0,3.41995503,0,0,0,0,0,0,0,0,0,1.511539128,0,2.025305865,0,3.398029853,N
0,1.510688602,0,0,2.214843848,0,2.714808585,0,0,0,0,0,0,0,0.477121255,2.281205866,0,-0.477121255,1.959041392,0,3.395149218,0,0,0,0,0,0,0,N
0.301029996,3.153788186,0,-0.301029996,2.113943352,0,3.153788186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,0,3.200960356,-0.301029996,2.127104798,0,3.200960356,N
